EPAID,SITENAME,SITEADDR,SITECITY,SITECOUNTY,LATITUDE,LONGITUDE
NCN000410852,DANNY ROBERTS/INTERSTATE BP,2815 WAYCROSS RD,DURHAM,DURHAM,36.024644,-78.854132
NCN000410861,DERRINGER DRIVE,DERRINGER DRIVE,MARSHALL,MADISON,35.809,-82.67627
NCN000410936,TRAWICK RD/BOND ST,TRAWICK RD,RALEIGH,WAKE,35.801235,-78.577694
NCN000410937,PATTERSON AVE BATTERY DUMP,PATTERSON AVE & BONNIE ST-SE,CONCORD,CABARRUS,35.4132,-80.57579
NCR000010272,UNC-COGENERATION FACILITY,575 W CAMERON AVE,CHAPEL HILL,ORANGE,35.90671,-79.05925
NCR000135418,"ZNR, INC",1020 CORPORATION PKWY,RALEIGH,WAKE,35.79127,-78.56823
NCR000179606,N&B CO. - TERMINIX,2201 E US 70 HWY,JAMES CITY,CRAVEN,35.065234,-77.023478
NCS000000478,CROWDERS MOUNTAIN STATE PARK,CROWDERS MOUNTAIN STATE PARK,GASTONIA,GASTON,35.23325,-81.28763
NCS000001273,WAYNE TRADEMARK,5356 NC HWY 49 S,ASHEBORO,RANDOLPH,35.641258,-79.974567
NCSFN0406894,STALLINGS SALVAGE,SECREST AVE,MONROE,UNION,34.98259,-80.49705
NCSFN0406911,CAROLINA ASSOCIATED MILL,766 HWY 10 W,NEWTON,CATAWBA,35.65503,-81.23626
NCSFN0407074,NC MARITIME MUSEUM,310 FRONT ST,BEAUFORT,CARTERET,34.71738,-76.66697
NCSFN0407140,CARDINAL CONTAINER SERVICES,138 WALSER ROAD,LEXINGTON,DAVIDSON,35.852718,-80.255061
NCSFN0407143,AMERICAN ELEMENTS,500 WALLACE ST,FARMVILLE,PITT,35.59232778,-77.59765
NONCD0000001,STANLY NEWS & PRESS,237 W NORTH STREET,ALBEMARLE,STANLY,35.35226,-80.20089
NONCD0000002,BURLINGTON COAL GAS PLANT,1205 N CHURCH ST,BURLINGTON,ALAMANCE,36.09668,-79.41841
NONCD0000003,VAN WATERS & ROGERS,ATANDO INDUSTRIAL PARK,CHARLOTTE,MECKLENBURG,35.26661,-80.82075
NONCD0000004,STURGEON CITY SITE (NON-PRLF PORTION),4 COURT STREET,JACKSONVILLE,ONSLOW,34.742822,-77.433159
NONCD0000005,WOODY WILSON-MCCAIN,SR1215 & SR1219,MCCAIN,HOKE,35.04488,-79.33663
NONCD0000010,UNITED MERCHANTS/OLD FORT PLANT,NORTH OF INTERSTATE 40,OLD FORT,MCDOWELL,35.62887,-82.17576
NONCD0000011,TERRELL MACHINE SHOP,3000-3030 SOUTH BLVD,CHARLOTTE,MECKLENBURG,35.19878,-80.86916
NONCD0000012,WHITES GRAVEL PIT,1515 HWY 49 SOUTH,CONCORD,CABARRUS,35.355315,-80.602191
NONCD0000013,CAROLINA HARDWOODS,158 FACTORY STREET,WILLIAMSTON,MARTIN,35.84076,-77.058
NONCD0000014,BOISE CASCADE,SR 1916,MONCURE,CHATHAM,35.61209,-79.04951
NONCD0000015,CENTRAL TRANSPORT COMPANY,215 SAMPSON ST,WILMINGTON,NEW HANOVER,34.27066,-77.96272
NONCD0000016,CMC LANDFILL,EAST MAIN STREET,ELKIN,SURRY,36.2467,-80.83586
NONCD0000017,FLAKT PRODUCTS,200 LOWERY STREET,WINSTON-SALEM,FORSYTH,36.09285,-80.21346
NONCD0000019,SIR WALTER GUN CLUB,US 64,KNIGHTDALE,WAKE,35.79822,-78.50701
NONCD0000023,CAROLINA P&L CO. FAYETTEVILLE,CUMBERLAND RD & OWEN DR,FAYETTEVILLE,CUMBERLAND,35.02108,-78.91632
NONCD0000024,GAITHER TRANSOU PROPERTY,1202 GUILFORD COLLEGE RD,GREENSBORO,GUILFORD,36.044725,-79.919875
NONCD0000025,RANGE ROAD BURN SITE,RANGE ROAD,BUTNER,GRANVILLE,36.16504,-78.78184
NONCD0000027,MEADOWVIEW ROAD,MEADOWVIEW ROAD,GREENSBORO,GUILFORD,36.0389,-79.78576
NONCD0000029,FLEET AEROSPACE CORP./AERONCA,BROOKFORD STREET,CHARLOTTE,MECKLENBURG,35.12361,-80.94083
NONCD0000030,COLLINS AND AIKMAN,327 EAST ELM ST.,GRAHAM,ALAMANCE,36.06978,-79.39339
NONCD0000032,ASHEVILLE COAL GAS PLANT #2,173 S CHAROTTE STREET,ASHEVILLE,BUNCOMBE,35.58984,-82.55041
NONCD0000033,SPRINGS IND/UNIGLASS IND.,535 CONNER ST.,STATESVILLE,IREDELL,35.774826,-80.893761
NONCD0000034,ASHEVILLE INDUSTRIES,20 GLEN BRIDGE RD/SR3495,ARDEN,BUNCOMBE,35.465094,-82.520052
NONCD0000038,AYCOCK PROPERTY,SR 1162 & 1103,WILSON,WILSON,35.68508,-77.98735
NONCD0000040,ABBOTT LABORATORIES,HWYS 401 AND 15-501,LAURINBURG,SCOTLAND,34.79964,-79.45545
NONCD0000041,CIBA-GEIGY,WESTINGHOUSE BLVD,CHARLOTTE,MECKLENBURG,35.13276,-80.96214
NONCD0000043,GOLDSBORO IRON & METAL,801 N JOHN ST,GOLDSBORO,WAYNE,35.3935,-77.99165
NONCD0000044,"CHEMICAL AND SOLVENTS, INC.",2804 PATTERSON STREET,GREENSBORO,GUILFORD,36.05763,-79.840498
NONCD0000045,ALCAN PACKAGING,3055 SWEETEN CREEK RD,ASHEVILLE,BUNCOMBE,35.50118,-82.51685
NONCD0000047,MEADS AIRFIELD PESTICIDES,SR 1100,WEEKSVILLE,PASQUOTANK,36.19553,-76.2355
NONCD0000050,HWY 268 MIRROR WASTE DUMP,HWY 268,NORTH WILKESBORO,WILKES,36.18888,-81.1206
NONCD0000053,CAROLINA MARBLE CO.,INDIAN MOUND ROAD,ALBEMARLE,STANLY,35.27852,-80.11719
NONCD0000054,MOORES COMPANY,US 1 BUSINESS & SR 1001,HENDERSON,VANCE,36.35039,-78.37707
NONCD0000055,GLISSON ENTERPRISES,HWY 903,GREENVILLE,PITT,35.67633,-77.34663
NONCD0000056,JAMES LANDFILL,HWY 74 & SR 1369,LAURINBURG,SCOTLAND,34.7656,-79.39199
NONCD0000059,DAYCO COCHRAN LANDFILL,RT 1 HYATT CREEK ROAD,WAYNESVILLE,HAYWOOD,35.476968,-83.048741
NONCD0000060,WATTS REGULATOR-GENERAL AIDES SITE,WITHROW ROAD,FOREST CITY,RUTHERFORD,35.342067,-81.896283
NONCD0000065,CMI INDUSTRIES,304 EAST MAIN STREET,ELKIN,SURRY,36.24557,-80.84395
NONCD0000066,WAKE AUTO PARTS (FORMER),3520 TRYON RD,RALEIGH,WAKE,35.74788,-78.69858
NONCD0000070,BENFIELD SANITATION SERVICE,282 SCOTTS CREEK ROAD,STATESVILLE,IREDELL,35.83321,-80.93094
NONCD0000071,STROH BREWERY CO,4000 OLD MILWAUKEE LANE,WINSTON-SALEM,FORSYTH,36.035666,-80.224278
NONCD0000073,H. M. WADE FURNITURE,SOUTH GRAHAM STREET,CHARLOTTE,MECKLENBURG,35.22648,-80.85271
NONCD0000074,TEXTILE CHEMICAL FACILITY,GRAHAM STREET,CHARLOTTE,MECKLENBURG,35.22721,-80.85173
NONCD0000075,FOAMEX/REEVES BROTHERS,18801 OLD STATESVILLE RD,CORNELIUS,MECKLENBURG,35.46574,-80.84967
NONCD0000078,CAROLINA METAL AND ALLOYS,1016 E. SPRINGFIELD AVENUE,HIGH POINT,GUILFORD,35.933168,-79.969245
NONCD0000081,"TRITON, INC",1610 SOUTH WARD BLVD,WILSON,WILSON,35.70665,-77.91317
NONCD0000082,CAPE FEAR CHEMICALS/HL BRICE,HWY 701 S,ELIZABETHTOWN,BLADEN,34.57088,-78.63359
NONCD0000084,"THERMO PRODUCTS, INC.",92 W 4TH ST & 430 N JONES ST,DENTON,DAVIDSON,35.63909,-80.11542
NONCD0000085,JONES & PRESNELL STUDIO,433 LAWTON ROAD,CHARLOTTE,MECKLENBURG,35.274876,-80.882307
NONCD0000088,TRANS TECHNOLOGY,5535 WILKINSON BLVD,CHARLOTTE,MECKLENBURG,35.23234,-80.93217
NONCD0000089,JOHN MORRELL & CO,2401 WILCO BLVD S,WILSON,WILSON,35.69397,-77.91976
NONCD0000091,DUKE POWER/WALNUT COVE,POWER HOUSE ROAD,WALNUT COVE,STOKES,36.36871,-80.12745
NONCD0000092,FUNDER AMERICA,200 FUNDER RD,MOCKSVILLE,DAVIE,35.90057,-80.54102
NONCD0000097,"MORRIS, NORMAN",HIGHWAY 87 NORTH,ELON COLLEGE,ALAMANCE,36.14082,-79.49012
NONCD0000099,PARTONS MOTOR COMPANY,2800 SOUTH YORK ROAD,GASTONIA,GASTON,35.227128,-81.198731
NONCD0001005,TRANSEASTERN CORP.,509 S LODGE ST,WILSON,WILSON,35.718895,-77.914454
NONCD0001009,SINGER PLANT #2,VIRGINIA STREET,LENOIR,CALDWELL,35.89619,-81.5525
NONCD0001011,JUNG CORPORATION,718-720 INDUSTRIAL PARK AVE,ASHEBORO,RANDOLPH,35.67663,-79.82815
NONCD0001014,SOUTHERN STATES-LUMBERTON FERTILIZER,875 OLD WHITEVILLE RD,LUMBERTON,ROBESON,34.60474,-78.97716
NONCD0001015,MARY CIRCLE BATTERY,ZION CHURCH & MARY CRL,CONCORD,CABARRUS,35.34198,-80.57686
NONCD0001016,ROYSTER-CLARK FERTILIZER PLANT,1598 HINES RD,OAK CITY,MARTIN,35.95006,-77.29278
NONCD0001018,HWY 49 BATTERY DUMP,NC HIGHWAY 49,CHARLOTTE,MECKLENBURG,35.16532,-80.91095
NONCD0001020,"PRECISION FABRICS GROUP, INC",301 MEADOWVIEW ROAD,GREENSBORO,GUILFORD,36.039613,-79.786649
NONCD0001022,GIBBS ELECTROPLATING - OLD LOCATION,2229 N DAVIDSON,CHARLOTTE,MECKLENBURG,35.24019,-80.81461
NONCD0001023,HEAVY EQUIPMENT SCHOOL,HEAVY EQUIPMENT ROAD,CHARLOTTE,MECKLENBURG,35.26335,-81.00361
NONCD0001025,TOOMEY PROPERTY,1020 HICKORY GROVE ROAD,SPRINGWOOD,GASTON,35.272646,-81.062921
NONCD0001027,JAKE ALEXANDER BLVD SITE,1709 JAKE ALEXANDER BLVD S,SALISBURY,ROWAN,35.64226,-80.46976
NONCD0001029,R & D LAMINATORS INC,HOLLOMAN ROAD (SR 1187),AHOSKIE,HERTFORD,36.2744,-77.0207
NONCD0001030,BLR,2911 JUNO DR,SANFORD,LEE,35.44764,-79.14048
NONCD0001033,AMERICAN CONTRACT COATINGS,HWY 55,APEX,WAKE,35.70836,-78.82536
NONCD0001034,SALEM ST RESIDENTIAL DUMP,125 SALEM ST,THOMASVILLE,DAVIDSON,35.88648,-80.08308
NONCD0001036,NORWOOD STREET SOLVENTS,2400 BLOCK OF NORWOOD STREET,LENOIR,CALDWELL,35.86759,-81.50911
NONCD0001037,WEST BLVD,224 & 228 WEST BLVD,CHARLOTTE,MECKLENBURG,35.2139,-80.86128
NONCD0001038,BRYANT FARM DRUM DUMP,W OF NC 86 400 FT S OF VA LINE,GATEWOOD,CASWELL,36.54078,-79.40772
NONCD0001039,OVERCASH GRAVEL & GRADING CO. INC.,1150 SHELTON ROAD,CONCORD,CABARRUS,35.36828,-80.69251
NONCD0001042,WILMINGTON SOUTH LINE & SERVICE YD,6854 CAROLINA BEACH RD,WILMINGTON,NEW HANOVER,34.085373,-77.895982
NONCD0001046,B&H RECYCLERS,7256 US 74 W,POLKTON,ANSON,35.00345,-80.18985
NONCD0001048,LEXINGTON FURNITURE IND. PLNT NO 2,3979 OLD LINWOOD ROAD,LEXINGTON,DAVIDSON,35.764086,-80.311796
NONCD0001049,LEXINGTON FURNITURE IND. PLNT NO 7,178 LFI COMPLEX LANE,LEXINGTON,DAVIDSON,35.79818,-80.28637
NONCD0001050,LEXINGTON FURNITURE IND. PLNT NO 12,3301 COTTON GROVE LANE,LEXINGTON,DAVIDSON,35.76762,-80.26105
NONCD0001052,THOMASVILLE FURNITURE,151 SMETHPORT DRIVE,WEST JEFFERSON,ASHE,36.43087,-81.50141
NONCD0001054,WILLIAMS AUTO CENTER,401 D STREET,BRIDGETON,CRAVEN,35.11984,-77.0179
NONCD0001058,ELECTRONICS COMPONENT CORPORATION,200 ELECTRONICS PARKWAY,BURGAW,PENDER,34.543833,-77.926583
NONCD0001060,DIXIE MACHINE & TOOL CO,2204 PATTERSON ST,GREENSBORO,GUILFORD,36.059588,-79.830151
NONCD0001061,CP&L NORTHERN DIVISION COMPLEX,902 WITHERS RD; SR 1466,GARNER,WAKE,35.73008,-78.66168
NONCD0001064,GUILFORD MILLS PLANT,200 DICKENS ROAD,FUQUAY-VARINA,WAKE,35.61444,-78.80669
NONCD0001066,DIMETRICS INC,404 ARMOUR STREET,DAVIDSON,MECKLENBURG,35.506961,-80.850158
NONCD0001067,CC DICKSON,1524 SOUTH BOULEVARD,CHARLOTTE,MECKLENBURG,35.214385,-80.85502
NONCD0001069,GENERAL MARBLE COMPANY,350 NORTH GENERALS BLVD,LINCOLNTON,LINCOLN,35.48727,-81.24291
NONCD0001072,J & C DYEING,1000 WEST GROVER STREET,SHELBY,CLEVELAND,35.304176,-81.563656
NONCD0001074,OLD FORD BLDG,FIFTH ST,TABOR CITY,COLUMBUS,34.14903,-78.8775
NONCD0001076,SOUTHSIDE INVESTMENTS LLC,2222 SOUTH BLVD,CHARLOTTE,MECKLENBURG,35.20622,-80.86202
NONCD0001077,CATAWISSA LUMBER CO,301 LOCUST ST,WEST JEFFERSON,ASHE,36.39610833,-81.49504444
NONCD0001082,CMI FLYASH DISPOSAL (PARCEL 2),HWY 268,ELKIN,SURRY,36.24555,-80.83809
NONCD0001083,TOXAWAY TANNING CO,MAIN ST,ROSMAN,TRANSYLVANIA,35.14498,-82.82512
NONCD0001084,HENDERSON COAL GAS PLANT,YADKIN STREET,HENDERSON,VANCE,36.3297043,-78.4241823
NONCD0001085,HICKORY COAL GAS PLANT,625 12TH STREET DRIVE NW,HICKORY,CATAWBA,35.742291,-81.365318
NONCD0001087,REIDSVILLE COAL GAS PLANT,825 WAY STREET,REIDSVILLE,ROCKINGHAM,36.3487,-79.66011
NONCD0001089,GREENSBORO COAL GAS PLANT #1,CHURCH STREET,GREENSBORO,GUILFORD,36.072889,-79.786422
NONCD0001090,OLD MILL BLDG,301 FOURTH AVE EAST,HENDERSONVILLE,HENDERSON,35.317258,-82.457732
NONCD0001092,CMI WWTP (PARCEL1),HWY 268,ELKIN,SURRY,36.24517,-80.83985
NONCD0001094,ALLISON MANUFACTURING CO,930 OLD CHARLOTTE ROAD,ALBEMARLE,STANLY,35.34555556,-80.20583333
NONCD0001095,MOSES CONE MEMORIAL PARK,BLUE RIDGE PKWY,BLOWING ROCK,WATAUGA,36.14647,-81.68953
NONCD0001097,"COPES-VULCAN, INC",601 W SUMMIT AVE,CHARLOTTE,MECKLENBURG,35.2215,-80.86418
NONCD0001098,"NATIONAL TEXTILES, LLP",REEP DRIVE,MORGANTON,BURKE,35.71969,-81.75275
NONCD0001099,C & L SURPLUS,1868 HWY 64 W,HAYESVILLE,CLAY,35.033316,-83.851823
NONCD0001100,DUPONT DUMP,NORTH OF SR 1430,NAVASSA,BRUNSWICK,34.29646,-78.05138
NONCD0001101,STRONGHAVEN WAREHOUSE,433 EAST JOHNS ST,MATTHEWS,MECKLENBURG,35.11431,-80.71738
NONCD0001102,BLUE RIDGE AUTO SALES,7786 LINVILLE FALLS HWY,ALTAMONT,AVERY,35.96367,-81.94704
NONCD0001103,WALTER KIDDE PORTABLE EQUIPMENT,1394 S THIRD ST,MEBANE,ALAMANCE,36.0748,-79.29603
NONCD0001104,CATO FARMS,11415 TOM SHORT ROAD,CHARLOTTE,MECKLENBURG,35.06076,-80.78809
NONCD0001105,WETSIG YACHTS,4022 MARKET STREET,WILMINGTON,NEW HANOVER,34.23775,-77.89462
NONCD0001106,"MICROTRON ABRASIVES, INC",10424 RODNEY ST,PINEVILLE,MECKLENBURG,35.09632,-80.88778
NONCD0001107,CONE MILLS - FLORENCE PLANT,FLORENCE & DEPOT RDS,FOREST CITY,RUTHERFORD,35.33254,-81.86501
NONCD0001108,RENTAL UNIFORM SERVICE,1829 HENDERSONVILLE RD,ASHEVILLE,BUNCOMBE,35.50328,-82.524147
NONCD0001109,FRIENDLY CLEANERS,605 S. PENDER ST,WILSON,WILSON,35.71517,-77.90544
NONCD0001113,SOUTHERN STATES (FORMER),125 LINE AVE,GREENVILLE,PITT,35.60123056,-77.39308056
NONCD0001114,CONOVER METAL PRODUCTS,315 S MCLIN CREEK RD,CONOVER,CATAWBA,35.69729,-81.191334
NONCD0001116,REPUBLIC SERVICES OF NC,312 JACK SHERMAN RD,ROUGEMONT,PERSON,36.33422,-78.826796
NONCD0001118,KIDDE TECHNOLOGIES,4200 AIRPORT DR,WILSON,WILSON,35.76357,-77.96391
NONCD0001119,EDWARDS PROPERTY FOUNDRY SAND,10209 ROZZELLE'S FERRY RD,CHARLOTTE,MECKLENBURG,35.321008,-80.952892
NONCD0001120,"EATON AEROQUIP, INC (FORMER)",680 LANIER RD,NORWOOD,STANLY,35.212023,-80.110256
NONCD0001121,R & R PLATING,623 COLUMBUS APPAREL ST,WHITEVILLE,COLUMBUS,34.33754,-78.68423
NONCD0001122,CABARRUS ROUNDABOUT,CABARRUS AVE & OLD CHARLOTTE,CONCORD,CABARRUS,35.40023,-80.59349
NONCD0001123,RALEIGH TTA-SE PARCEL,S WEST ST & MORGAN ST,RALEIGH,WAKE,35.77966,-78.64654
NONCD0001124,RALEIGH TTA-WILSON PARCEL,200 S WEST ST,RALEIGH,WAKE,35.778357,-78.646182
NONCD0001125,RALEIGH TTA-DILLON PARCEL A,102 S WEST ST,RALEIGH,WAKE,35.778931,-78.64656
NONCD0001126,RALEIGH TTA-DILLON PARCEL B,S WEST ST,RALEIGH,WAKE,35.77777,-78.64663
NONCD0001127,RALEIGH TTA-DILLON PARCEL C,510 & 602 W MARTIN ST,RALEIGH,WAKE,35.77729,-78.64755
NONCD0001128,RESOLUTION PACKAGING,468 CAROLINA AVE,MARION,MCDOWELL,35.69533,-81.98272
NONCD0001130,SOUTH MAIN ST SEWER LINE EXT,4660 FOLLANSBEE RD,WINSTON-SALEM,FORSYTH,36.018603,-80.247137
NONCD0001132,BALDOR ELECTRIC COMPANY,3821 BARRINGER RD,CHARLOTTE,MECKLENBURG,35.19659,-80.88783
NONCD0001133,BOWMAN GRAY-FRIEDBURG CAMPUS,WELFARE ROAD,WINSTON-SALEM,FORSYTH,35.9981,-80.32772
NONCD0001135,LUMBERTON MUNICIPAL AIRPORT,163 AIRPORT BLVD,LUMBERTON,ROBESON,34.6148801,-79.0591816
NONCD0001137,FABCO FASTENING SYSTEMS/DIXIE YARNS,614 NC HWY 200 S,STANFIELD,STANLY,35.22425,-80.41403
NONCD0001138,DEUTSCH RELAYS,2021 GARDNER DR,WILMINGTON,NEW HANOVER,34.276944,-77.9125
NONCD0001139,VERMONT AMERICAN,STATE FARM RD,BOONE,WATAUGA,36.20636,-81.6634
NONCD0001140,PIEDMONT HAWTHORNE,3817 N LIBERTY ST,WINSTON-SALEM,FORSYTH,36.13856,-80.22951
NONCD0001141,DIAZIT COMPANY,941 US HWY 1 S,YOUNGSVILLE,FRANKLIN,36.03661,-78.50246
NONCD0001142,FLYNT/WANSONA,ONE WANSONA PLACE,WADESBORO,ANSON,34.975725,-80.063418
NONCD0001143,PRESTIGE LABELS,151 INDUSTRIAL DR,BURGAW,PENDER,34.541944,-77.918611
NONCD0001144,MAMMOTH OAKS WATER SUPPLY WELL,MAMMOTH OAKS DR,CHARLOTTE,MECKLENBURG,35.15485,-80.78863
NONCD0001145,SALISBURY ASPHALT PLANT/SITE #45,JAKE ALEXANDER BLVD,SALISBURY,ROWAN,35.68602,-80.51206
NONCD0001147,LIGHTHOUSE SERVICE CENTER,HWY 12 & LIGHTHOUSE RD,BUXTON,DARE,35.264528,-75.522778
NONCD0001148,UNION CARBIDE,HWY 42,CLAYTON,JOHNSTON,35.64366,-78.43526
NONCD0001150,CHARLOTTE BATTERY,2926 YOUNGBLOOD ST,CHARLOTTE,MECKLENBURG,35.201829,-80.871238
NONCD0001151,MATTHEWS BLDG SUPPLY/ESTUL TOOL,215 AMES ST,MATTHEWS,MECKLENBURG,35.12,-80.72318
NONCD0001153,UNITED AGRI PRODUCTS DISTRIBUTION,17021 OLD MAXTON ROAD,LAURINBURG,SCOTLAND,34.7027,-79.43527
NONCD0001154,ROBERT BOSCH TOOL CORP,129 LEGIONAIRE RD,LINCOLNTON,LINCOLN,35.48838,-81.25629
NONCD0001155,D&G PROPERTIES-SLAUGHTERHOUSE PARCEL,ROYSTER RD,NAVASSA,BRUNSWICK,34.27393,-78.00537
NONCD0001156,CLEAN-CLEAN DRY CLEANERS/VIP CLEANERS,627 TARRYTOWN CTR,ROCKY MOUNT,NASH,35.960814,-77.825673
NONCD0001157,ROBERT BOSCH TOOL CORP,310 STATON RD,GREENVILLE,PITT,35.651363,-77.360829
NONCD0001158,STATE LINE HONDA,134 CARATOKE HWY,MOYOCK,CURRITUCK,36.54823,-76.19122
NONCD0001159,HYDRO TUBE SOUTH,1755 HILLSBORO ST,PITTSBORO,CHATHAM,35.74407,-79.16819
NONCD0001161,PEELE'S SERVICE STATION/HONORA MANNING,2771 OLD HWY 64,JAMESVILLE,MARTIN,35.82312,-76.81483
NONCD0001162,CHAMPION FINISHING CO,200 BINGHAM RD,ASHEVILLE,BUNCOMBE,35.607505,-82.587268
NONCD0001163,SMITH'S AEROSPACE,401 SWEETEN CREEK IND. PK.,ASHEVILLE,BUNCOMBE,35.547601,-82.51856
NONCD0001164,COOPERAGE TRACT,NC 99 & US 264,BELHAVEN,BEAUFORT,35.54637,-76.63299
NONCD0001166,CENTRAL GRAIN-MORGANS CORNER,1312 HASSELL RD,ELIZABETH CITY,PASQUOTANK,36.41613,-76.34837
NONCD0001167,CENTRAL GRAIN-CHAPANOKE,647 CHAPANOKE RD,HERTFORD,PERQUIMANS,36.25453,-76.37809
NONCD0001168,RIVER CITY CONSTRUCTION CO,3534 CHERRY RUN RD,WASHINGTON,BEAUFORT,35.62472,-77.10247
NONCD0001169,LIBERTY FABRICS (FORMER),US 64,JAMESVILLE,MARTIN,35.8097,-76.88507
NONCD0001171,RENTAL UNIFORM SERVICES,117 W ELIZABETH STREET,CLINTON,SAMPSON,34.99642,-78.32364
NONCD0001172,HYMAN YOUNG GREENHOUSE,675 CEDAR HILL RD,ASHEVILLE,BUNCOMBE,35.58747,-82.63234
NONCD0001173,LEBANON CHEMICAL,ALBERMARLE ST,HERTFORD,PERQUIMANS,36.21377,-76.46403
NONCD0001174,ARROW LAUNDRY,4735 MONROE RD,CHARLOTTE,MECKLENBURG,35.193384,-80.780504
NONCD0001175,MIDTOWN SQUARE VALET DRY CLEANERS,401 S INDEPENDENCE BLVD,CHARLOTTE,MECKLENBURG,35.21208,-80.83495
NONCD0001176,MURFREESBORO VENEER,307 N 2ND ST,MURFREESBORO,HERTFORD,36.44543,-77.09226
NONCD0001177,ALCOA-PINE RD RAVINE DISPOSAL,PINE RD,,STANLY,35.414494,-80.095872
NONCD0001178,PACKER PROPERTY,US 701 & JEWEL ST,WHITEVILLE,COLUMBUS,34.31117,-78.71552
NONCD0001181,CUMMINS ATLANTIC-DISTRIBUTORSHIP,3700 JEFF ADAMS DR,CHARLOTTE,MECKLENBURG,35.2744,-80.8216
NONCD0001185,CSX-NUTT ST,515 NUTT ST,WILMINGTON,NEW HANOVER,34.2427,-77.95116
NONCD0001186,CARR MILL MALL,200 N GREENSBORO ST,CARRBORO,ORANGE,35.912255,-79.071043
NONCD0001187,COFFING HOISTS,2020 COUNTRY CLUB RD,WADESBORO,ANSON,34.943908,-80.052539
NONCD0001188,SHELBY BODY SHOP,1904 E DIXON BLVD,SHELBY,CLEVELAND,35.266833,-81.48372
NONCD0001189,CROSSROADS OIL,320 ELIZABETH ST,LENOIR,CALDWELL,35.93398,-81.54235
NONCD0001190,KING STREET SOLVENT CONTAMINATION,860 KING ST,BURLINGTON,ALAMANCE,36.088359,-79.425827
NONCD0001191,MIRACLE WATER REFINERS,HWY 70,HAVELOCK,CRAVEN,34.91685,-76.98415
NONCD0001192,EAKES CLEANERS (FORMER),827 W MORGAN ST,DURHAM,DURHAM,36.00125,-78.90949
NONCD0001201,REEVES BROTHERS-BAILEY RD DUMP,BAILEY RD,CORNELIUS,MECKLENBURG,35.46214,-80.8553
NONCD0001202,INGRAM PLYWOOD INC,718 BASSETT DRIVE,THOMASVILLE,DAVIDSON,35.91081,-80.04924
NONCD0001204,SOUTHERN STATES-AHOSKIE SERVICE,1383 MEMORIAL DR,AHOSKIE,HERTFORD,36.27514,-76.97332
NONCD0001206,CITY OF CHARLOTTE_DOT STREET MAINTENANCE,4600 SWEDEN RD,CHARLOTTE,MECKLENBURG,35.12908,-80.87792
NONCD0001207,APAC-WASHINGTON ASPHALT PLANT,DIRT RD,WASHINGTON,BEAUFORT,35.5941,-77.1186
NONCD0001211,200 NORTH TRYON STREET,200 N. TRYON STREET,CHARLOTTE,MECKLENBURG,35.228,-80.84167
NONCD0001212,WOODLAND MILLS CORP,4021 HWY 108 E,MILL SPRING,POLK,35.29694,-82.16806
NONCD0001213,2ND STREET NE SOLVENTS,"1106 2ND STREET NE, 11TH AVE N",HICKORY,CATAWBA,35.74816,-81.334242
NONCD0001215,WAYNE'S AUTO SALVAGE,11801 MOORESVILLE RD,DAVIDSON,CABARRUS,35.50076,-80.77438
NONCD0001219,HARLEE AVENUE CONTAMINATION,3701 HARLEE AVE,CHARLOTTE,MECKLENBURG,35.23088,-80.93301
NONCD0001223,BROOKS STREET TCE,BROOKS ST,WAKE FOREST,WAKE,35.97242,-78.50995
NONCD0001226,ADAMS-MILLIS PLANT 2/33 - NONUST,838 S. MAIN ST.,MOUNT AIRY,SURRY,36.49457,-80.60157
NONCD0001229,GENERAL STEEL DRUM CORP,4500 SOUTH BLVD,CHARLOTTE,MECKLENBURG,35.18075,-80.87761
NONCD0001230,AG LIQUIDS,2504 DAVIE AVENUE,STATESVILLE,IREDELL,35.80939,-80.84656
NONCD0001231,AIR LIQUIDE,2414 SOUTH BOULEVARD,CHARLOTTE,MECKLENBURG,35.20436,-80.86492
NONCD0001232,INDUSTRIAL & AGRICULTURAL CHEMICALS,2042 BUIE-PHILADELPUS RD,RED SPRINGS,ROBESON,34.73539,-79.14056
NONCD0001233,LOFTIN PROPERTY,2361 LENNOXVILLE RD,BEAUFORT,CARTERET,34.71272,-76.63144
NONCD0001235,ALAMAC KNITS (DYERSBURG CORP.),NC HWY 125,HAMILTON,MARTIN,35.93455,-77.199
NONCD0001240,CHROME-RITE PLATING FACILITY,514 SOUTH EASTERN BLVD,FAYETTEVILLE,CUMBERLAND,35.03984,-78.86704
NONCD0001243,ALEXIS SOLVENTS,ALEXIS HIGH SHOALS ROAD,ALEXIS,GASTON,35.39913,-81.12133
NONCD0001244,ALEXVALE FURNITURE PLANT #3,6005 HWY 10 WEST,HICKORY,CATAWBA,35.619467,-81.379882
NONCD0001245,ALLEN-BECK NON-PETROLEUM,HWY 321 N.,GRANITE FALLS,CALDWELL,35.82335,-81.44495
NONCD0001246,VINCENTE WELL,17761 STONE PATH LANE,CONNELLY SPRINGS,BURKE,35.72579,-81.47318
NONCD0001248,UNITED SALVAGE,BUTTERCUP LANE,ROANOKE RAPIDS,HALIFAX,36.4406,-77.7019
NONCD0001250,ALMONT SHIPPING,929 N FRONT STREET,WILMINGTON,NEW HANOVER,34.2458,-77.9517
NONCD0001251,ALPHAGARY CORP,9635 INDUSTRIAL DRIVE,PINEVILLE,MECKLENBURG,35.10223,-80.88691
